%,Dia,Casos,Recuperados,Obitos
,2,2,0,0
100,3,4,0,0
50,4,6,0,0
50,5,9,0,0
44.44444444,6,13,0,0
61.53846154,7,21,0,0
42.85714286,8,30,0,0
30,9,39,0,0
5.128205128,10,41,0,0
43.90243902,11,59,0,0
32.20338983,12,78,0,0
43.58974359,13,112,0,0
50.89285714,14,169,1,0
44.9704142,15,245,2,0
35.10204082,16,331,3,0
35.34743202,17,448,3,1
43.30357143,18,642,3,2
22.2741433,19,785,3,3
29.93630573,20,1020,5,6
25.49019608,21,1280,5,12
25,22,1600,5,14
28.75,23,2060,14,23
14.66019417,24,2362,22,33
26.79932261,25,2995,22,43
18.66444073,26,3554,43,60
20.09003939,27,4268,43,76
21.13402062,28,5170,43,100
15.31914894,29,5962,43,119
7.480711171,30,6408,43,140
16.15168539,31,7443,43,160
10.8558377,32,8251,43,187
9.489758817,33,9034,68,209
9.4310383,34,9886,68,246
6.453570706,35,10524,75,266
7.164576207,36,11278,75,295
4.007802802,38,11730,140,311
6.069906223,38,12442,184,345
5.618067835,39,13141,196,380
6.201963321,40,13956,205,409
10.86271138,41,15472,233,435
3.328593588,42,15987,266,470
3.740539188,43,16585,277,504
2.104311125,44,16934,277,535
3.03531357,45,17448,347,567
3.68523613,46,18091,383,599
4.145707811,47,18841,493,629
0.960670877,48,19022,519,657
3.485437914,49,19685,610,687
2.646685293,50,20206,610,714
3.251509453,51,20863,610,735
2.473278052,52,21379,917,762
2.820524814,53,21982,1143,785
1.687744518,54,22353,1201,820
1.986310562,55,22797,1228,854
4.106831298,56,23271,1277,880
1.7704439,57,23683,1329,903
0.6882574,58,23846,1357,928
1.237104756,59,24141,1389,948
0.758046477,60,24324,1470,973
1.512909061,61,24692,1519,989
1.194718937,62,24987,1647,1007
0.81242246,63,25190,1671,1023
0.365224295,64,25282,1689,1043
0.957202753,65,25524,1712,1063
0.697382855,66,25702,1743,1074
1.867558945,67,26182,2076,1089
2.035749752,68,26715,2258,1105
2.069998128,69,27268,2422,1114
0.506087722,70,27406,2499,1126
0.638546304,71,27581,2549,1135
0.355317066,72,27679,2549,1144
0.845406265,73,27913,3013,1163
0.784580661,74,28132,3182,1175
0.664723447,75,28319,3198,1184
0.932236308,76,28583,3328,1190
0.794178358,77,28810,3822,1203
0.784449844,78,29036,4636,1218
0.595812095,79,29209,6430,1231
0.763463316,80,29432,6431,1247
0.774667029,81,29660,6452,1263
0.84962913,,29912,6452,1277
0.962824285,,30200,7590,1289
0.897350993,,30471,7705,1302
0.498834958,,30623,17549,1316
0.538810698,,30788,17822,1330
0.711316097,,31007,18096,1342
0.919147289,,31292,18349,1356
0.971494312,,31596,18637,1369
1.107735156,,31946,18911,1383
0.804482564,,32203,19186,1396
0.922274322,,32500,19409,1410
0.615384615,,32700,19552,1424
